Baseline 100%T,,BLANK,,L239_JUNE_3_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
564.9429932,0.01687301137,564.9429932,0.0003587205429,564.9429932,0.002383663785,
564.0462036,0.0167082902,564.0462036,0.0001659866539,564.0462036,0.00256506796,
562.9997559,0.01650332287,562.9997559,8.284299838E-5,562.9997559,0.002300224733,
561.9530029,0.01614762656,561.9530029,0.0001925048273,561.9530029,0.002505624201,
561.055603,0.01599166729,561.055603,0.0001085793265,561.055603,0.002390119014,
560.0083618,0.01571880467,560.0083618,2.648215377E-5,560.0083618,0.002467561746,
558.9608765,0.01540553384,558.9608765,0.0001211373383,558.9608765,0.002494272776,
558.0628052,0.01505504921,558.0628052,2.749176929E-5,558.0628052,0.002695075702,
557.0148315,0.01471443288,557.0148315,5.532183786E-5,557.0148315,0.002550590318,
555.9665527,0.01433643792,555.9665527,8.074584184E-5,555.9665527,0.002701483201,
555.0678711,0.01396663021,555.0678711,0.0002531090868,555.0678711,0.002751419088,
554.019104,0.01300059631,554.019104,0.0001266526233,554.019104,0.00264384388,
552.9700928,0.01255781669,552.9700928,9.208614938E-5,552.9700928,0.002668248024,
552.0707397,0.01232097764,552.0707397,0.0001493877207,552.0707397,0.002823168179,
551.0213013,0.01194947585,551.0213013,7.610541161E-6,551.0213013,0.002711954527,
549.9715576,0.01138904504,549.9715576,0.0001630604384,549.9715576,0.002878772561,
549.0715332,0.01104510389,549.0715332,0.0002033041965,549.0715332,0.002955624834,
548.0213013,0.0106133325,548.0213013,9.431282524E-5,548.0213013,0.002993026515,
546.9708252,0.01023048628,546.9708252,1.384921416E-5,546.9708252,0.00294770184,
546.0702515,0.009773418307,546.0702515,0.0001358449226,546.0702515,0.003170878161,
545.0192871,0.009377451614,545.0192871,0.0001144569469,545.0192871,0.003102852032,
543.9680176,0.008901066147,543.9680176,0.0001351457759,543.9680176,0.00317411148,
543.0667725,0.008773149922,543.0667725,7.636427654E-6,543.0667725,0.003027225146,
542.0150757,0.00817076955,542.0150757,-7.196239494E-6,542.0150757,0.003141231136,
540.9631348,0.00784631446,540.9631348,-2.272728489E-5,540.9631348,0.003105720039,
540.0612793,0.007630575448,540.0612793,2.231427789E-5,540.0612793,0.00317841419,
539.0088501,0.007288570516,539.0088501,-4.027670002E-5,539.0088501,0.003252346069,
537.9561157,0.007082791068,537.9561157,3.468733667E-6,537.9561157,0.003359733149,
537.0536499,0.006836636923,537.0536499,-6.263952673E-5,537.0536499,0.003297206946,
536.0004883,0.006644555833,536.0004883,3.696673593E-5,536.0004883,0.003377446439,
534.9470825,0.006652362645,534.9470825,4.985923806E-5,534.9470825,0.003404187504,
534.0439453,0.006556588691,534.0439453,-1.201092346E-5,534.0439453,0.003332003485,
532.9901123,0.006666609552,532.9901123,-0.0001023410587,532.9901123,0.003419998335,
531.9359741,0.006762644276,531.9359741,0.0001377610897,531.9359741,0.00364242564,
531.0322266,0.007016701624,531.0322266,-0.0001084486648,531.0322266,0.00347533985,
529.9776001,0.007187023759,529.9776001,-1.542776226E-5,529.9776001,0.003545694984,
529.0734863,0.00739590684,529.0734863,-7.889326662E-5,529.0734863,0.003557726275,
528.0184326,0.0077574444,528.0184326,-1.356403573E-5,528.0184326,0.003821352962,
526.9631348,0.008403244428,526.9631348,4.555954547E-6,526.9631348,0.003694662824,
526.0583496,0.008671308868,526.0583496,4.73997934E-5,526.0583496,0.003896413371,
525.0026245,0.009304770268,525.0026245,-9.669920837E-5,525.0026245,0.003803882515,
523.9465942,0.00987694785,523.9465942,-5.466772564E-5,523.9465942,0.003886644728,
523.0412598,0.01036169659,523.0412598,-3.934649158E-6,523.0412598,0.003809653688,
521.9847412,0.01120654866,521.9847412,-7.599455421E-5,521.9847412,0.003678502748,
520.9280396,0.0119549837,520.9280396,-0.0001074652464,520.9280396,0.003702625399,
520.0220947,0.01245244686,520.0220947,1.749926741E-5,520.0220947,0.003890144639,
518.9649048,0.01303017698,518.9649048,0.0001272222871,518.9649048,0.004055770114,
518.0585327,0.013648903,518.0585327,5.728942779E-5,518.0585327,0.004007068463,
517.0009155,0.01432129461,517.0009155,0.0001221730636,517.0009155,0.00398352975,
515.9430542,0.01507102139,515.9430542,-7.702980656E-5,515.9430542,0.004136855248,
515.0360718,0.01561983116,515.0360718,-2.800771472E-5,515.0360718,0.00426398823,
513.9777222,0.01629202999,513.9777222,-7.62533673E-5,513.9777222,0.004188315477,
513.0704346,0.01684435084,513.0704346,-4.742050442E-5,513.0704346,0.004217224196,
512.0116577,0.01733322442,512.0116577,6.733462214E-5,512.0116577,0.004279882647,
510.9526062,0.01801315695,510.9526062,-3.598000694E-5,510.9526062,0.00421839999,
510.0446777,0.01837203465,510.0446777,0.0001861600031,510.0446777,0.004481460433,
508.9852295,0.01892295107,508.9852295,-7.662179087E-6,508.9852295,0.004514573608,
507.9255066,0.01948052458,507.9255066,-1.522068305E-5,507.9255066,0.004540364258,
507.0169983,0.01999712363,507.0169983,-5.792893353E-5,507.0169983,0.004481800832,
505.9568176,0.02029880695,505.9568176,3.388605546E-5,505.9568176,0.004575286992,
505.0479431,0.0206813775,505.0479431,1.553158313E-7,505.0479431,0.004510466941,
503.9873352,0.02093317173,503.9873352,5.612440509E-5,503.9873352,0.004847961012,
502.9264832,0.02148658782,502.9264832,-0.0001057054324,502.9264832,0.004630828276,
502.0170288,0.02161096036,502.0170288,5.511472409E-5,502.0170288,0.004827595782,
500.9557495,0.02191131562,500.9557495,-6.574986401E-6,500.9557495,0.004874740262,
500.0458984,0.02194927074,500.0458984,0.0001885943348,500.0458984,0.004966896959,
498.9841614,0.0222088024,498.9841614,0.0001448561525,498.9841614,0.00495178951,
498.0739441,0.02249869518,498.0739441,-4.866534709E-6,498.0739441,0.004910579883,
497.0117798,0.02258995175,497.0117798,-1.206269371E-5,497.0117798,0.004970589187,
495.9494019,0.02270978317,495.9494019,2.490301631E-5,495.9494019,0.005151086487,
495.0385742,0.02280340344,495.0385742,1.102756232E-5,495.0385742,0.005181158893,
493.975769,0.02291843854,493.975769,9.426104225E-5,493.975769,0.005282289814,
493.0645752,0.02288784832,493.0645752,5.327659164E-5,493.0645752,0.005402839277,
492.0013123,0.02280048467,492.0013123,7.59819668E-5,492.0013123,0.005434790161,
490.9378357,0.02271417528,490.9378357,0.0001569490996,490.9378357,0.005456258543,
490.0260925,0.02279742993,490.0260925,-4.607677965E-6,490.0260925,0.005658803042,
488.9621582,0.02265741862,488.9621582,3.624037106E-7,488.9621582,0.005655236077,
488.0500488,0.02244747244,488.0500488,7.251265197E-5,488.0500488,0.005818807986,
486.9857178,0.02234654315,486.9857178,3.683729665E-5,486.9857178,0.005775810685,
486.0732117,0.02226920612,486.0732117,2.951010401E-6,486.0732117,0.005934546236,
485.0084534,0.02194758132,485.0084534,-4.861112757E-5,485.0084534,0.005997689441,
483.9434509,0.02164910547,483.9434509,8.21439462E-5,483.9434509,0.005996665917,
483.0303955,0.02143366262,483.0303955,0.0001271187066,483.0303955,0.006001363974,
481.9649658,0.02132598124,481.9649658,-7.921034012E-6,481.9649658,0.006234150846,
481.0515747,0.0210537985,481.0515747,8.93675533E-5,481.0515747,0.006344195455,
479.9857178,0.02093738317,479.9857178,5.669397069E-5,479.9857178,0.006426917855,
479.0719604,0.0207992997,479.0719604,-3.313391289E-6,479.0719604,0.006553855725,
478.0056763,0.02078278922,478.0056763,-0.0001121753012,478.0056763,0.006402695552,
