Baseline 100%T,,BLANK,,L470_JUNE_20_22,,L377_JUNE_24_2022,,L375_EPI_JUNE_17_2022,,L222_JUNE_28_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
705.9772339,-0.0009599290206,705.9772339,7.057088078E-5,705.9772339,0.002114145085,705.9772339,0.0009765840368,705.9772339,0.0003104578063,705.9772339,0.001934593311,
704.972229,-5.549596972E-5,704.972229,-7.196239494E-6,704.972229,0.001991306432,704.972229,0.0007267349865,704.972229,0.0002868076554,704.972229,0.002186413156,
703.9668579,0.0008028442389,703.9668579,-1.734325269E-5,703.9668579,0.001921670744,703.9668579,0.0009375915397,703.9668579,0.0001923235541,703.9668579,0.00214419025,
702.9611816,0.001544225728,702.9611816,-1.511714254E-5,702.9611816,0.002171739936,702.9611816,0.0009951605462,702.9611816,0.0004753193061,702.9611816,0.002650511218,
701.9552002,0.002626915695,701.9552002,0.0001082427189,701.9552002,0.001906018471,701.9552002,0.0009701498784,701.9552002,0.0002108147164,701.9552002,0.002545903437,
700.9488525,0.003420754801,700.9488525,-3.344338256E-5,700.9488525,0.001861301134,700.9488525,0.0008642859175,700.9488525,0.0002772754524,700.9488525,0.002497553127,
699.9421997,0.004114564043,699.9421997,6.187186955E-5,699.9421997,0.001789035043,699.9421997,0.001094386796,699.9421997,0.0004264735617,699.9421997,0.002545278519,
698.9352417,0.005018534604,698.9352417,-3.365162911E-6,698.9352417,0.001868814346,698.9352417,0.001001205761,698.9352417,0.0005963819567,698.9352417,0.002337934216,
698.0718384,0.005946381483,698.0718384,-9.592280549E-5,698.0718384,0.001630429877,698.0718384,0.0007314023096,698.0718384,0.0006395693636,698.0718384,0.002225621836,
697.064209,0.006883263588,697.064209,-0.000230272286,697.064209,0.001758624567,697.064209,0.0008369486313,697.064209,0.0009958090959,697.064209,0.002304518595,
696.0562744,0.007665958256,696.0562744,-2.464274257E-5,696.0562744,0.001900844625,696.0562744,0.0009596946184,696.0562744,0.001125970739,696.0562744,0.002137010451,
695.0480347,0.008766308427,695.0480347,-0.0002621974563,695.0480347,0.001659220317,695.0480347,0.0007679905393,695.0480347,0.0009149188991,695.0480347,0.002014607424,
694.0394287,0.009331640787,694.0394287,0.0001397549349,694.0394287,0.001760417945,694.0394287,0.001138480264,694.0394287,0.001077129622,694.0394287,0.002105483087,
693.0305176,0.0102252923,693.0305176,-9.561223851E-5,693.0305176,0.001549369423,693.0305176,0.0009646757971,693.0305176,0.0007941045915,693.0305176,0.001859065378,
692.0212402,0.01076715905,692.0212402,0.0002234274871,692.0212402,0.001879031537,692.0212402,0.001173571451,692.0212402,0.000566832372,692.0212402,0.001906486461,
691.0117188,0.01182052586,691.0117188,-0.0002785989491,691.0117188,0.001433209167,691.0117188,0.0007195785875,691.0117188,-1.014718146E-5,691.0117188,0.001478194143,
690.00177,0.01233474538,690.00177,-0.0002083320724,690.00177,0.001905992511,690.00177,0.001007199287,690.00177,0.0002085615415,690.00177,0.00164643582,
688.9915771,0.01279987767,688.9915771,0.0001720722357,688.9915771,0.00214801426,688.9915771,0.001047080266,688.9915771,0.0005382956588,688.9915771,0.001642122515,
687.9810181,0.01340983994,687.9810181,1.371978033E-5,687.9810181,0.002507759258,687.9810181,0.00102281908,687.9810181,0.0005066249287,687.9810181,0.001686817268,
686.9701538,0.01376303378,686.9701538,0.000272250385,686.9701538,0.00239930721,686.9701538,0.001317781047,686.9701538,0.000761818781,686.9701538,0.002073411597,
685.9589233,0.01461935416,685.9589233,3.722561814E-5,685.9589233,0.001936439425,685.9589233,0.0009405489545,685.9589233,0.0002878955856,685.9589233,0.001674187952,
684.9474487,0.01519308612,684.9474487,-0.0001491293369,684.9474487,0.001712700818,684.9474487,0.0009921249002,684.9474487,0.0004374342388,684.9474487,0.001551551628,
683.9355469,0.015564234,683.9355469,-0.0002075558587,683.9355469,0.001918446622,683.9355469,0.0009960685857,683.9355469,0.0004192702472,683.9355469,0.001553499955,
683.0679932,0.01592208631,683.0679932,-7.827211084E-5,683.0679932,0.002049951348,683.0679932,0.001251394511,683.0679932,0.000274970138,683.0679932,0.001758364611,
