BLANK,,ELA_946,,ELA_1004,,ELA_949,,ELA_1015,,ELA_932,,ELA_922,,ELA_1011,,ELA_947,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
711.9876709,6.202721124E-5,711.9876709,0.005472406279,711.9876709,0.0004948073183,711.9876709,0.0006060248706,711.9876709,-0.0002750807034,711.9876709,1.146763498E-5,711.9876709,0.002251095371,711.9876709,0.002191980835,711.9876709,0.0005342524382,
710.9829102,6.971650873E-5,710.9829102,0.005600481294,710.9829102,0.00066365354,710.9829102,0.0005807774724,710.9829102,-0.0002643705811,710.9829102,0.0001753092656,710.9829102,0.002368593588,710.9829102,0.002291923389,710.9829102,0.0005757748149,
709.9777832,-0.0001538906945,709.9777832,0.005432064179,709.9777832,0.0006451430963,709.9777832,0.0008013919578,709.9777832,-6.745359133E-5,709.9777832,0.0001558096992,709.9777832,0.002347069327,709.9777832,0.002211285755,709.9777832,0.0005931417691,
708.97229,-7.288876805E-5,708.97229,0.005551265553,708.97229,0.0007402444026,708.97229,0.000678949873,708.97229,-0.0001640860428,708.97229,0.0001608593011,708.97229,0.002321668668,708.97229,0.002192371059,708.97229,0.0005546243628,
707.9664917,-3.173503865E-5,707.9664917,0.005563221872,707.9664917,0.000667075743,707.9664917,0.0008465709398,707.9664917,-0.0002352397278,707.9664917,8.95487974E-5,707.9664917,0.002568921773,707.9664917,0.002178634284,707.9664917,0.0006221227814,
706.9603271,-0.0001092768071,706.9603271,0.005577485543,706.9603271,0.0006433024537,706.9603271,0.000841643021,706.9603271,-0.0003351974301,706.9603271,5.094657536E-5,706.9603271,0.002440774115,706.9603271,0.002247530501,706.9603271,0.0005122746807,
705.9538574,-1.232154591E-5,705.9538574,0.0056879404,705.9538574,0.000743174518,705.9538574,0.0008258481976,705.9538574,-0.0001298246061,705.9538574,0.0001223284198,705.9538574,0.002369686728,705.9538574,0.002290387871,705.9538574,0.0007042030338,
704.9470825,0.000175464651,704.9470825,0.005797295365,704.9470825,0.000825925963,704.9470825,0.0007166485884,704.9470825,-9.338653035E-5,704.9470825,0.0003225812688,704.9470825,0.002490263432,704.9470825,0.002445954364,704.9470825,0.0006293035694,
703.9399414,1.726628398E-5,703.9399414,0.005791707896,703.9399414,0.0006866242038,703.9399414,0.0005329047563,703.9399414,-0.0001466451358,703.9399414,0.0003796542005,703.9399414,0.002531895181,703.9399414,0.0022568719,703.9399414,0.0005390990991,
702.9324951,-0.0001079828362,702.9324951,0.005745827686,702.9324951,0.000660698046,702.9324951,0.0005220193998,702.9324951,-0.0003974782885,702.9324951,0.0003768560709,702.9324951,0.002578139771,702.9324951,0.002300875261,702.9324951,0.000470887986,
702.0686646,-7.133586769E-5,702.0686646,0.005941002164,702.0686646,0.0008062415873,702.0686646,0.0004885876551,702.0686646,-0.0002240111644,702.0686646,0.0002435516944,702.0686646,0.002632801421,702.0686646,0.002592592267,702.0686646,0.0005697613233,
701.0606079,-7.754744001E-5,701.0606079,0.005934887566,701.0606079,0.0006491355016,701.0606079,0.0004132848699,701.0606079,-0.0001874257287,701.0606079,0.0003394976957,701.0606079,0.002580587519,701.0606079,0.002488649217,701.0606079,0.0006250521401,
700.0521851,-0.0001295658294,700.0521851,0.005846670363,700.0521851,0.0007705836906,700.0521851,0.0004296865955,700.0521851,-0.0001644482982,700.0521851,0.0003653787717,700.0521851,0.002813449828,700.0521851,0.002550225705,700.0521851,0.0005865836865,
699.043396,-6.745359133E-5,699.043396,0.005740896333,699.043396,0.0007985392585,699.043396,0.000442642573,699.043396,-0.0002817032801,699.043396,0.0003234620672,699.043396,0.002839400666,699.043396,0.002491877647,699.043396,0.0006287072902,
