Wavelength (nm),BLANK,ELA_FISH109,ELA_FISH930,ELA_FISH903,ELA_FISH1010,ELA_FISH105,ELA_FISH913,ELA_FISH909,ELA_CTL2-L222-224,ELA_FISH948,ELA_FISH944,ELA_CTL1-L239,ELA_CTL2-L239
679.059021,-0.004363605,-0.003008224,-0.003821355,-0.002286381,-0.003206484,-0.001815775,-0.002632426,-0.003493255,-0.003563917,-0.002418922,-0.003479902,-0.003334635,-0.002399151
678.0435181,-0.004616369,-0.003554211,-0.004094539,-0.002431381,-0.003786765,-0.002116861,-0.002718457,-0.003773164,-0.003840342,-0.002633661,-0.003895349,-0.003871541,-0.002793309
677.02771,-0.004723313,-0.003705924,-0.004102642,-0.002619047,-0.003668091,-0.002623524,-0.002795161,-0.003833055,-0.003901353,-0.002882034,-0.004014064,-0.003931008,-0.00289628
676.0115967,-0.004649101,-0.003810731,-0.004043506,-0.00238839,-0.003497723,-0.002326085,-0.002806683,-0.003710544,-0.003696017,-0.002619458,-0.00374165,-0.003566998,-0.002690211
674.9951782,-0.004538245,-0.003748682,-0.003830848,-0.002117943,-0.003271952,-0.002118767,-0.002552554,-0.003549898,-0.003912076,-0.002344932,-0.003663881,-0.003319119,-0.002660831
673.9783936,-0.00458671,-0.003944604,-0.003887653,-0.002711512,-0.003578345,-0.002353171,-0.002653215,-0.003764285,-0.003794566,-0.002534334,-0.00384963,-0.003687034,-0.002656045
672.9613037,-0.004455187,-0.004379853,-0.004103001,-0.002708013,-0.003551952,-0.002331801,-0.002836465,-0.003881444,-0.003879443,-0.002549209,-0.003724044,-0.003758228,-0.00295948
671.9439087,-0.004503405,-0.004235656,-0.004027708,-0.002728541,-0.003415699,-0.002389111,-0.00277515,-0.003627122,-0.003824177,-0.002707447,-0.003872208,-0.003998829,-0.002637881
671.0715942,-0.004653301,-0.004445502,-0.004091513,-0.002626611,-0.003681387,-0.002672511,-0.003005756,-0.003943732,-0.003823613,-0.002736927,-0.004084487,-0.003975026,-0.002796395
670.0536499,-0.004732019,-0.004360325,-0.004224479,-0.002616062,-0.003545944,-0.002763576,-0.00279156,-0.003962355,-0.003769623,-0.002670093,-0.004071563,-0.003980515,-0.00299974
669.0353394,-0.004831715,-0.004267083,-0.004118079,-0.002674569,-0.003774704,-0.002533202,-0.002738213,-0.003961944,-0.003942654,-0.002793412,-0.003887242,-0.003717012,-0.002869691
668.0167236,-0.004632659,-0.004048892,-0.003958302,-0.002537474,-0.003555598,-0.002482706,-0.002709505,-0.003673019,-0.004115617,-0.002775562,-0.003774139,-0.003654743,-0.002847163
666.9977417,-0.004680498,-0.004146694,-0.00391264,-0.002322069,-0.003510716,-0.002380667,-0.00253207,-0.00374591,-0.003646375,-0.002766817,-0.003820739,-0.003858815,-0.002848295
665.9785156,-0.004427669,-0.004137259,-0.004076281,-0.002470145,-0.003465881,-0.002222464,-0.002739757,-0.003620243,-0.003781581,-0.002432153,-0.003824075,-0.00369073,-0.002765119
664.9589844,-0.004300865,-0.004029504,-0.003745756,-0.00237835,-0.003238089,-0.002394878,-0.00282695,-0.003675021,-0.003836288,-0.002648275,-0.003823151,-0.003579013,-0.00286357
